"Archivio estrazioni Gioco del Lotto Anno 2025 (dal 1871)"
"1 Luglio 2025, Martedì"
"lottologia.com"
""
""
"Data    Bari             Cagliari         Firenze          Genova           Milano           Napoli           Palermo          Roma             Torino           Venezia          Nazionale"
"01/07   71 66 48 42 76   84 70 23 69 43   50 21 30 11 69   89 41 50 80 67   41 59 67 03 60   87 63 51 42 07   56 87 76 27 09   41 26 50 22 77   36 83 80 65 05   45 77 76 81 71   72 06 03 08 07"
"28/06   41 76 54 04 17   34 52 84 54 55   21 60 89 51 03   36 40 46 03 73   32 80 01 68 12   63 34 22 85 10   21 85 64 15 65   48 25 42 47 50   51 25 14 20 28   82 48 73 53 29   46 55 10 32 44"
"27/06   58 46 56 32 25   63 90 78 40 01   82 64 40 05 80   55 69 37 68 08   26 07 10 29 81   79 87 88 65 89   79 20 71 40 49   69 79 57 26 39   48 75 18 84 06   37 23 18 63 01   65 37 76 39 62"
"26/06   46 67 85 51 41   31 19 78 28 58   24 63 44 61 71   76 74 77 65 58   66 50 73 67 75   24 14 33 11 31   35 34 78 19 06   53 07 19 36 85   67 66 87 10 81   14 03 67 49 17   02 31 11 77 74"
"24/06   04 07 49 65 47   30 46 61 75 29   04 78 31 54 85   54 06 65 52 87   71 67 80 20 70   48 51 08 27 73   17 33 62 21 48   70 20 45 61 19   60 88 01 08 15   43 31 83 70 87   11 44 34 60 01"
"21/06   07 03 45 25 05   20 73 88 50 15   04 19 09 52 55   21 47 65 53 24   11 64 70 67 51   59 66 83 33 03   61 74 28 62 04   25 29 15 54 44   34 22 30 59 28   42 75 06 83 84   36 67 41 54 56"
"20/06   33 01 29 44 22   44 19 09 33 01   68 14 30 61 05   44 53 24 79 62   62 72 07 21 37   48 39 29 85 11   12 50 29 76 75   89 02 62 78 23   16 45 27 23 13   36 77 81 09 73   17 18 01 47 88"
"19/06   32 64 67 30 17   39 56 77 12 35   11 16 59 72 02   80 79 05 03 33   09 87 23 88 82   56 74 85 16 61   84 21 08 18 85   71 84 20 54 86   28 36 68 49 53   14 45 39 43 42   73 11 46 20 26"
"17/06   50 69 29 20 42   90 18 15 24 70   01 53 24 25 36   89 49 67 05 30   17 16 53 87 56   78 28 67 30 55   08 69 05 85 22   28 76 19 77 17   71 56 03 15 09   57 82 76 52 62   83 49 07 12 13"
"14/06   43 28 11 04 79   44 24 17 54 40   51 68 85 05 58   35 40 22 31 45   84 30 47 28 85   12 06 24 83 82   66 03 88 41 45   15 77 68 70 59   81 25 06 33 77   77 79 12 49 87   01 84 11 31 45"
"13/06   51 31 66 49 01   64 05 11 31 84   61 56 04 64 45   47 16 74 79 12   31 90 08 40 19   20 73 56 22 82   28 02 25 39 06   53 38 88 45 74   54 40 81 78 01   04 50 61 39 62   67 43 87 38 54"
"12/06   26 16 67 08 12   67 31 37 76 80   03 63 28 09 43   68 38 53 86 85   66 41 88 07 53   11 32 09 24 79   07 44 76 30 35   03 64 30 65 29   40 46 31 32 39   88 67 46 04 51   76 67 49 34 56"
"10/06   48 32 74 59 08   77 73 72 18 66   56 33 86 23 75   81 29 70 25 28   27 21 87 88 90   80 57 86 24 43   47 30 37 69 27   57 51 16 18 50   61 11 12 83 33   11 21 53 74 39   29 48 42 83 81"
"07/06   76 01 50 74 87   13 76 67 43 59   37 17 71 48 23   54 58 44 48 46   48 09 86 77 44   38 25 17 19 82   81 66 78 72 05   70 27 83 44 71   79 86 53 03 89   78 18 33 79 38   49 63 48 86 68"
"06/06   40 88 30 09 66   76 30 05 09 70   22 67 41 85 63   57 23 30 89 60   26 45 77 70 22   01 71 32 07 41   13 11 86 34 76   67 81 23 72 47   42 73 40 61 15   90 23 22 79 34   34 72 33 01 53"
"05/06   51 33 47 36 70   87 26 89 38 03   37 79 02 31 23   71 88 43 72 73   47 16 71 30 10   32 76 41 29 25   24 33 65 13 62   53 10 40 59 72   85 22 87 84 60   08 71 25 80 70   67 48 86 62 13"
"03/06   22 06 19 70 35   63 52 04 64 43   77 56 88 38 21   40 86 56 32 74   36 42 01 33 67   63 06 37 46 64   85 66 17 42 41   49 88 03 80 57   38 42 43 53 69   50 16 55 31 32   28 11 73 72 52"
"31/05   72 01 07 20 16   39 04 81 79 09   87 73 57 72 63   80 81 32 30 75   07 63 39 57 64   47 06 11 26 66   04 81 15 76 48   84 15 52 56 25   12 34 06 54 26   44 86 74 48 80   44 77 11 58 62"
"30/05   72 07 04 37 54   15 27 54 33 16   35 54 20 80 02   25 76 44 21 87   59 44 88 77 63   35 90 85 60 12   49 61 08 32 11   37 40 03 06 58   21 46 55 24 25   58 28 42 19 35   74 42 32 87 60"
"29/05   45 10 60 68 59   04 31 24 61 63   71 59 65 53 46   21 26 50 63 86   46 52 45 21 15   88 90 17 46 12   31 40 71 32 12   86 81 41 12 19   75 32 64 46 04   26 65 38 56 60   16 55 64 57 12"
"27/05   15 61 19 34 80   69 10 33 22 25   18 55 30 29 78   64 18 35 56 57   41 86 61 17 89   87 31 27 57 16   31 69 53 64 14   14 24 02 08 29   83 04 79 49 27   19 57 53 10 33   14 68 86 56 58"
"24/05   72 84 53 64 12   63 59 22 39 65   69 78 13 20 61   62 48 82 03 65   44 66 04 21 40   13 70 03 38 45   52 18 04 69 70   12 34 17 07 79   27 44 49 05 32   72 62 87 34 02   32 65 12 30 18"
"23/05   39 64 33 15 03   06 77 64 63 30   37 88 61 14 10   73 18 41 07 80   70 78 77 79 52   33 44 39 01 22   25 45 15 39 73   04 15 82 41 06   30 09 18 13 10   15 61 84 52 64   66 71 61 35 80"
"22/05   08 07 31 78 34   71 28 69 48 61   01 36 18 17 16   07 66 39 27 01   66 89 65 42 78   49 01 83 38 43   50 57 85 79 66   08 52 58 60 13   37 07 27 32 24   21 19 09 33 11   03 49 06 45 22"
"20/05   12 60 87 01 02   36 24 53 35 16   55 51 21 18 35   05 31 25 82 45   81 45 88 35 31   11 54 68 70 82   74 69 90 57 25   57 09 16 54 79   24 07 88 51 79   41 13 07 56 19   81 12 83 76 01"
"17/05   60 07 68 18 42   49 48 45 64 61   43 33 58 08 59   04 03 39 30 28   13 10 12 06 60   14 48 06 45 81   44 35 23 06 49   17 63 26 16 57   58 26 43 34 08   27 03 55 65 23   52 53 58 30 26"
"16/05   54 80 10 25 62   36 09 69 14 52   76 81 75 68 90   38 72 64 63 43   19 68 80 39 46   09 90 74 75 76   05 17 56 53 54   90 37 41 68 23   72 26 58 59 48   36 75 84 10 63   81 66 17 09 35"
"15/05   75 59 15 72 63   76 52 09 25 37   40 82 70 19 90   32 60 13 19 27   61 66 60 27 32   27 59 39 66 58   09 08 25 34 71   78 11 10 64 58   13 50 42 45 40   87 32 66 30 73   09 62 43 23 49"
"13/05   57 08 71 83 65   06 43 60 53 65   04 76 30 20 73   11 50 61 23 49   54 50 03 34 37   63 17 76 85 07   06 68 35 31 13   63 15 57 82 03   60 30 87 63 03   52 43 17 14 25   59 51 84 75 06"
"10/05   13 59 06 79 87   72 15 60 08 41   33 12 20 40 43   46 01 70 16 19   69 55 02 44 20   33 10 38 87 72   79 55 11 62 10   43 29 79 05 31   25 26 61 75 63   47 33 64 31 20   56 46 38 41 74"
